# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	42107
#@/user_id	8d82608b-c9dc-447a-b88f-fa6f65555da6
a 	啊	c=198 d=1.50015 t=41900
wo jin tian 	我今天	c=1 d=1 t=6212
wo jiu 	我就	c=6 d=1 t=35828
wo jiu fang 	我就放	c=1 d=1 t=36850
wo jiu gen ni 	我就跟你	c=1 d=1 t=10911
wo jiu guo qu 	我就过去	c=1 d=1 t=19201
wo jiu qu 	我就去	c=1 d=1 t=3797
wo jiu shuo 	我就说	c=1 d=1 t=25643
wo jue de 	我觉得	c=2 d=1 t=30411
wo kai che 	我开车	c=2 d=1 t=38776
wo kan 	我看	c=22 d=1.00001 t=41307
wo kan dao 	我看到	c=1 d=1 t=31385
wo kan kan 	我看看	c=17 d=1.11192 t=37499
wo kan le 	我看了	c=2 d=1 t=28088
wo kan le kan 	我看了看	c=1 d=1 t=24892
wo kan zhe 	我看着	c=1 d=1 t=1401
wo kao 	我靠	c=2 d=1.00031 t=34809
wo ma 	我妈	c=7 d=1.956 t=40729
wo ma jia 	我妈家	c=1 d=1 t=23605
wo mai 	我买	c=1 d=1 t=35690
wo mai le 	我买了	c=1 d=1 t=35812
wo mei 	我没	c=1 d=1 t=21492
wo mei mai 	我没买	c=1 d=1 t=38693
wo mei shuo 	我没说	c=1 d=1 t=23864
wo men 	我们	c=60 d=1.00032 t=41760
wo men na 	我们那	c=1 d=1 t=38582
wo mian fei 	我免费	c=1 d=1 t=2527
wo na 	我拿	c=2 d=1 t=34822
wo na 	我那	c=1 d=1 t=10130
wo na ge 	我那个	c=1 d=1 t=14022
wo nen 	我嫩	c=1 d=1 t=26254
wo neng 	我能	c=1 d=1 t=13897
wo neng men 	我能们	c=1 d=1 t=1054
wo pa 	我怕	c=3 d=1 t=33260
wo pao 	我跑	c=1 d=1 t=40583
wo qu 	我去	c=1 d=1 t=24163
wo rang 	我让	c=4 d=1 t=40880
wo shan le 	我删了	c=1 d=1 t=30197
wo shang 	我上	c=1 d=1 t=25992
wo she le 	我射了	c=1 d=1 t=24158
wo she zhi 	我设置	c=1 d=1 t=35350
wo shi 	卧室	c=2 d=1 t=27374
wo shi 	我是	c=5 d=1 t=23857
wo shi shi 	我试试	c=2 d=1 t=21312
wo shua 	我刷	c=1 d=1 t=31062
wo shuo 	我说	c=20 d=1 t=40540
wo shuo cao ni ma 	我说操你妈	c=1 d=1 t=10497
wo shuo de 	我说的	c=3 d=1 t=31678
wo shuo le 	我说了	c=1 d=1 t=29841
wo sui bian 	我随便	c=1 d=1 t=41890
wo tian wan 	我填完	c=0 d=0.1 t=41963
wo tian wan le 	我填完了	c=1 d=1 t=41964
wo ting shuo 	我听说	c=1 d=1 t=5585
wo tui jian 	我推荐	c=1 d=1 t=6016
wo wen 	我问	c=3 d=1 t=28739
wo wen le 	我问了	c=2 d=1 t=30950
wo wen wen 	我问问	c=3 d=1 t=41959
wo xi fu 	我媳妇	c=1 d=1 t=41678
wo xi wang 	我希望	c=3 d=1.88692 t=10100
wo xia ban 	我下班	c=1 d=1 t=30793
wo xia wu 	我下午	c=1 d=1 t=38199
wo xian 	我先	c=4 d=1.00026 t=39374
wo xian ba 	我先把	c=1 d=1 t=23446
wo xian zai 	我先在	c=1 d=1 t=38185
wo xian zai 	我现在	c=8 d=1.0001 t=35791
wo xiang 	我想	c=3 d=1 t=36979
wo xin le 	我信了	c=1 d=1 t=2477
wo xu yao 	我需要	c=3 d=1 t=34646
wo yao 	我要	c=3 d=1 t=34709
wo ye 	我也	c=5 d=1.0001 t=41561
wo ye kan 	我也看	c=1 d=1 t=41552
wo yi hui er 	我一会儿	c=1 d=1 t=7254
wo yi jing 	我已经	c=1 d=1 t=16824
wo yi kan 	我一看	c=1 d=1 t=4836
wo yi si 	我意思	c=4 d=1.81148 t=36102
wo yi zhi 	我一直	c=1 d=1 t=35301
wo yo 	我哟	c=1 d=1 t=35422
wo yong 	我用	c=8 d=1 t=36667
wo you 	我有	c=8 d=1.31507 t=37200
wo zai 	我再	c=5 d=1 t=38938
wo zai 	我在	c=10 d=1.85642 t=23744
wo zai jia li 	我在家里	c=1 d=1 t=24841
wo zai kan 	我在看	c=1 d=1 t=28068
wo zhao le 	我招了	c=1 d=1 t=25983
wo zhe 	我这	c=6 d=1 t=37946
wo zhe bian 	我这边	c=4 d=1 t=27192
wo zhe ye 	我这也	c=2 d=1 t=19464
wo zhe you 	我这有	c=1 d=1 t=17092
wo zhi dao 	我知道	c=3 d=1 t=34382
wo zhi jie 	我直接	c=1 d=1 t=5573
wo zhua 	我抓	c=0 d=0.1 t=4499
wo zhua bao 	我抓包	c=1 d=1 t=4500
wo zi ji 	我自己	c=1 d=1 t=38133
wo zui hou 	我最后	c=1 d=1 t=29829
wo zuo ti a 	我做题啊	c=1 d=1 t=11337
wo zuo tian 	我昨天	c=2 d=1 t=38410
wu 	五	c=1 d=1 t=6154
wu 	吴	c=1 d=1 t=22970
wu 	屋	c=1 d=0.110673 t=37720
wu 	无	c=2 d=1.96079 t=116
wu chao 	吴超	c=3 d=2.238 t=29085
wu chao 	武超	c=1 d=1 t=16137
wu chun 	无醇	c=1 d=1 t=33960
wu dao 	误导	c=1 d=1 t=32961
wu en da 	吴恩达	c=2 d=1.82696 t=9208
wu fa 	无法	c=4 d=1 t=19835
wu fan 	午饭	c=1 d=1 t=33904
wu fei 	无非	c=1 d=1 t=5294
wu han 	武汉	c=1 d=1 t=35646
wu hua ba men 	五花八门	c=1 d=1 t=32256
wu ke lan 	乌克兰	c=1 d=1 t=1760
wu li 	屋里	c=1 d=1 t=36342
wu li 	物理	c=6 d=1 t=31566
wu liu 	五六	c=1 d=1 t=13740
wu liu 	物流	c=2 d=1 t=37554
wu liu nian 	五六年	c=1 d=1 t=13695
wu lun 	无论	c=3 d=1 t=30130
wu ren ji 	无人机	c=1 d=1 t=37526
wu shi 	五十	c=1 d=1.09851 t=6093
wu shu 	无数	c=1 d=1 t=5591
wu su 	乌苏	c=0 d=0.1 t=3645
wu su wo e 	乌苏我饿	c=1 d=1 t=3646
wu suo wei 	无所谓	c=10 d=1 t=41993
wu wei shu 	五位数	c=1 d=1 t=1901
wu xian 	无限	c=1 d=1 t=21386
wu ye 	物业	c=1 d=1 t=23053
wu yi 	五一	c=6 d=1 t=13239
wu yi 	无意	c=1 d=1 t=20549
wu yong 	无用	c=1 d=1 t=33317
wu zheng zhuang 	无症状	c=1 d=1 t=17069
wu zi 	屋子	c=4 d=1.03956 t=30513
wu zi li 	屋子里	c=1 d=1 t=13600
xi 	吸	c=2 d=1 t=33958
xi 	细	c=3 d=1.68386 t=35078
xi 	西	c=1 d=1 t=10871
xi an hang 	西安行	c=1 d=1 t=4565
xi bei 	西北	c=3 d=1.94599 t=40425
xi fu 	媳妇	c=9 d=1.6811 t=41677
xi fu 	西服	c=1 d=1 t=2216
xi gua dao 	西瓜刀	c=1 d=1 t=27974
xi guan 	习惯	c=1 d=1 t=24938
xi guan xing 	习惯性	c=1 d=1 t=23294
xi hong men 	西红门	c=1 d=1 t=13754
xi huan 	喜欢	c=4 d=3.0583 t=30408
xi jie 	细节	c=4 d=1 t=21077
xi jiu long 	西九龙	c=1 d=1 t=15105
xi jun xing 	细菌性	c=1 d=1 t=35219
xi na 	吸纳	c=0 d=0.1 t=8034
xi na ka 	吸纳卡	c=1 d=1 t=8035
xi niu 	犀牛	c=0 d=0.1 t=6016
xi qian 	洗钱	c=1 d=1 t=25535
xi shan 	西山	c=2 d=1.67627 t=18275
xi shan wen quan 	西山温泉	c=1 d=1 t=18195
xi shou 	吸收	c=1 d=1 t=3190
xi shou 	洗手	c=1 d=1 t=14829
xi tong 	系统	c=94 d=4.36876 t=39797
xi tong ji bie 	系统级别	c=1 d=1 t=4308
xi wan ji 	洗碗机	c=2 d=1 t=38640
xi wang 	希望	c=1 d=1 t=34489
xi yi ji 	洗衣机	c=2 d=1 t=30260
xi you ji 	西游记	c=1 d=1 t=25343
xia 	下	c=14 d=1 t=41428
xia 	夏	c=2 d=1.99501 t=15148
xia 	瞎	c=2 d=0.1 t=35741
xia an 	瞎按	c=2 d=1.90937 t=10983
xia ban 	下班	c=3 d=1 t=30627
xia bi 	瞎逼	c=2 d=1.00425 t=23524
xia bu lai 	下不来	c=1 d=1 t=2889
xia cai dan 	下菜单	c=1 d=1 t=12876
xia che 	下车	c=1 d=1 t=36574
xia chen 	下沉	c=1 d=1 t=8359
xia ci 	下次	c=5 d=1.04905 t=39668
xia dan 	下单	c=3 d=1 t=38011
xia de 	下的	c=1 d=0.1 t=25212
xia de da 	下的大	c=1 d=1 t=25213
xia gang 	下岗	c=2 d=1 t=26157
xia gang nan guan 	下岗难关	c=1 d=1 t=16731
xia ge 	下个	c=1 d=1 t=6110
xia ge yue 	下个月	c=13 d=1 t=40055
xia gei ren 	瞎给人	c=1 d=1 t=35742
xia gui 	下跪	c=1 d=1 t=14404
xia jia 	下架	c=6 d=1.00001 t=16508
xia jia le 	下架了	c=1 d=1 t=14100
xia jiang 	下降	c=2 d=1 t=27163
xia ke 	侠客	c=0 d=0.1 t=11151
xia ke dao 	侠客岛	c=1 d=1 t=19327
xia ke song 	侠客送	c=1 d=1 t=11152
xia la 	下拉	c=1 d=1 t=15452
xia lai 	下来	c=8 d=1.00012 t=28734
xia lai le 	下来了	c=0 d=0.10053 t=13443
xia lai le ba 	下来了吧	c=1 d=1 t=13444
xia le 	下了	c=2 d=1 t=11851
xia lou 	下楼	c=2 d=1 t=6161
xia men 	厦门	c=1 d=1 t=27979
xia mian 	下面	c=35 d=1.29376 t=41842
xia nuo 	夏诺	c=1 d=1 t=15144
xia po lu 	下坡路	c=1 d=1 t=28013
xia qu 	下去	c=1 d=1 t=7860
xia shu 	下书	c=1 d=1 t=18327
xia shu 	下述	c=1 d=1 t=19937
xia shuo 	瞎说	c=1 d=1 t=8006
xia si ni 	吓死你	c=0 d=0.1 t=6311
xia si ni hang 	吓死你行	c=1 d=1 t=6312
xia tian 	夏天	c=3 d=1 t=22539
xia tiao 	下调	c=1 d=1 t=10396
xia wu 	下午	c=18 d=1.19989 t=42071
xia wu cha 	下午茶	c=1 d=1 t=6776
xia xia zhou 	下下周	c=2 d=1.96561 t=38135
xia yao 	下药	c=1 d=1 t=14642
xia yi ge 	下一个	c=2 d=1 t=39308
xia yu 	下雨	c=3 d=1 t=18568
xia yue 	下月	c=2 d=1 t=34377
xia zai 	下载	c=12 d=1.00001 t=41877
xia zhou 	下周	c=9 d=1.15814 t=38634
xia zhou san 	下周三	c=1 d=1 t=14145
xia zhu 	下注	c=1 d=1 t=10686
xia zhu le 	吓住了	c=1 d=1 t=17990
xian 	先	c=68 d=1.00319 t=41691
xian 	显	c=1 d=1 t=8968
xian 	现	c=1 d=1 t=27783
xian 	线	c=21 d=1 t=41887
xian 	闲	c=1 d=1 t=10579
xian ai 	腺癌	c=1 d=1 t=32615
xian ba 	先把	c=1 d=1 t=2507
xian bie 	先别	c=2 d=1 t=11095
xian cai 	线材	c=1 d=1 t=11054
xian cha 	先查	c=1 d=1 t=20605
xian chang 	现场	c=6 d=1.6942 t=28184
xian cheng 	现成	c=3 d=1.44486 t=31752
xian chu 	现出	c=1 d=1 t=20939
xian cun 	现存	c=1 d=1 t=7485
xian dai 	现代	c=1 d=1 t=32342
xian de 	显得	c=1 d=1 t=2728
xian ding 	限定	c=1 d=1 t=23496
xian du 	限度	c=1 d=1 t=5351
xian gei 	先给	c=1 d=1 t=33043
xian gei wo 	先给我	c=1 d=1 t=5710
xian gen 	先跟	c=1 d=1 t=4001
xian he tong 	先合同	c=1 d=1 t=34750
xian ji zheng 	腺肌症	c=1 d=1 t=11401
xian jin 	现金	c=1 d=1 t=27573
xian jin liu 	现金流	c=1 d=1 t=27574
xian ka 	显卡	c=10 d=1.55721 t=38562
xian kan 	先看	c=1 d=1 t=12173
xian pao 	先跑	c=1 d=1 t=34803
xian qi 	限期	c=1 d=1 t=38236
xian qi lai 	掀起来	c=1 d=1 t=15034
xian ran 	显然	c=1 d=1 t=8673
xian rang 	先让	c=1 d=1 t=37801
xian ren 	仙人	c=1 d=1 t=2031
xian shang 	线上	c=38 d=2.42915 t=40658
xian shi 	显示	c=1 d=1 t=39733
xian shi 	现实	c=1 d=1 t=29961
xian sui bian 	先随便	c=1 d=1 t=7147
xian xia 	线下	c=2 d=1.92774 t=13688
xian xia 	闲暇	c=1 d=1 t=13672
xian xiang 	现象	c=1 d=1 t=14846
xian xing 	线型	c=0 d=0.1 t=41604
xian xing 	线性	c=1 d=1 t=22532
xian xing tu 	线型图	c=1 d=1 t=41605
xian you 	先有	c=2 d=1 t=23084
xian you 	现有	c=1 d=1 t=16156
xian you ji 	先有鸡	c=1 d=1 t=23082
xian yu 	咸鱼	c=4 d=1 t=36489
xian zai 	现在	c=264 d=1.54979 t=42102
xian zai zhe 	现在这	c=1 d=1 t=31829
xian zhe yang 	先这样	c=1 d=1 t=34335
xian zhi 	限制	c=19 d=1 t=40208
xian zhi fu 	先支付	c=1 d=1 t=41630
xian zhuang 	现状	c=2 d=1.7788 t=35181
xian zi 	仙子	c=1 d=1 t=39109
xian zi a 	仙子啊	c=1 d=1 t=28995
xiang 	像	c=9 d=1 t=39281
xiang 	向	c=1 d=1 t=25552
xiang 	想	c=23 d=1.04975 t=39565
xiang bu dao 	想不到	c=1 d=1 t=27834
xiang cun 	乡村	c=1 d=1 t=13362
xiang cun ai qing 	乡村爱情	c=2 d=1.98511 t=13368
xiang dang nian 	想当年	c=1 d=1 t=11678
xiang dang yu 	相当于	c=3 d=1 t=38378
xiang dao 	想到	c=1 d=0.1 t=34389
xiang dao wei 	想到位	c=1 d=1 t=34390
xiang dui 	相对	c=1 d=1 t=31551
xiang fa 	想法	c=1 d=1 t=32443
xiang gang 	香港	c=6 d=1 t=32012
xiang ge 	想个	c=1 d=1 t=7428
xiang gei 	想给	c=1 d=1 t=33044
xiang gen 	想跟	c=1 d=1 t=11543
xiang guan 	相关	c=25 d=1.00005 t=41549
xiang guan ren 	相关人	c=1 d=1 t=26723
xiang hao 	相好	c=1 d=1 t=40591
xiang jian 	详见	c=2 d=1 t=23752
xiang kan 	想看	c=2 d=1 t=41334
xiang le xiang 	想了想	c=1 d=1 t=7665
xiang liang 	向量	c=2 d=1 t=10048
xiang ma 	响马	c=1 d=1 t=2561
xiang mu 	项目	c=20 d=1.98292 t=37700
xiang mu zu 	项目组	c=1 d=1 t=24700
xiang ni 	像你	c=0 d=0.1 t=27825
xiang ni shuo 	像你说	c=1 d=1 t=27826
xiang qi lai 	想起来	c=1 d=1 t=32803
xiang qian kan 	向前看	c=1 d=1 t=36827
xiang qing 	想请	c=1 d=1 t=3082
xiang qing 	详情	c=2 d=1 t=37143
xiang shuo 	想说	c=1 d=1 t=27046
xiang ti bing lun 	相提并论	c=1 d=1 t=20155
xiang tong 	相同	c=3 d=1 t=34139
xiang wen 	想问	c=1 d=1 t=40003
xiang wen wen 	想问问	c=1 d=1 t=10413
xiang xi 	详细	c=1 d=1 t=37712
xiang xia 	向下	c=1 d=1 t=39568
xiang xiang 	想想	c=3 d=2.8509 t=1876
xiang yang 	像样	c=1 d=1 t=13072
xiang yang 	想养	c=1 d=1 t=13071
xiang yao 	想要	c=2 d=1 t=32692
xiang ying 	响应	c=1 d=1 t=6940
xiang ying 	相应	c=3 d=1.00001 t=6331
xiang yong 	享用	c=1 d=1 t=25781
xiang zhong 	相中	c=1 d=1 t=10411
xiang zi 	箱子	c=9 d=1.0667 t=39656
xiao 	小	c=27 d=1.00158 t=40195
xiao 	消	c=1 d=1 t=34892
xiao 	笑	c=1 d=1 t=9140
xiao bai 	小白	c=0 d=0.1 t=13793
xiao bai zhuo zi 	小白桌子	c=1 d=1 t=13794
xiao ban 	小板	c=0 d=0.1 t=31817
xiao ban 	小班	c=1 d=1 t=28238
xiao ban zi 	小板子	c=1 d=1 t=31818
xiao bing 	小饼	c=1 d=1 t=27441
xiao che 	小车	c=1 d=1 t=3400
xiao chen 	小陈	c=1 d=1 t=19206
xiao cheng 	小城	c=1 d=1 t=23096
xiao cheng xu 	小程序	c=1 d=1 t=13847
xiao cong 	小葱	c=1 d=1 t=27442
xiao da xiao nao 	小打小闹	c=1 d=1 t=27592
xiao dan wei 	小单位	c=1 d=1 t=5608
xiao deng pao 	小灯泡	c=1 d=1 t=31621
xiao du shui 	消毒水	c=1 d=1 t=17879
xiao fei 	消费	c=5 d=2.58939 t=40970
xiao fei ji 	小飞机	c=1 d=1 t=38381
xiao fei zhe 	消费者	c=1 d=1 t=26226
xiao feng 	小风	c=2 d=1.89583 t=37808
xiao gong si 	小公司	c=4 d=1 t=40939
xiao gu niang 	小姑娘	c=4 d=3.65692 t=13521
xiao guo 	效果	c=16 d=2.7548 t=35546
xiao guo bu hao 	效果不好	c=1 d=1 t=24363
xiao hai 	小孩	c=3 d=1 t=33469
xiao hao 	小号	c=1 d=1 t=22904
xiao ji gui 	小机柜	c=1 d=1 t=21432
xiao jie jie 	小姐姐	c=3 d=2.97025 t=9596
xiao la ba 	小喇叭	c=1 d=1 t=25057
xiao lan 	小蓝	c=1 d=1 t=15306
xiao li 	小李	c=2 d=1.83527 t=2144
xiao liang 	销量	c=2 d=1.70822 t=5210
xiao ma 	小马	c=1 d=1 t=1965
xiao ma chang 	小马厂	c=9 d=1 t=36804
xiao ma che 	小马车	c=1 d=1 t=1434
xiao mai bu 	小卖部	c=7 d=1 t=27517
xiao mao 	小猫	c=1 d=1 t=8736
xiao mi 	小米	c=4 d=1 t=28446
xiao mo xing 	小模型	c=1 d=1 t=2812
xiao nei cun 	小内存	c=1 d=1 t=24916
xiao nian qing 	小年轻	c=1 d=1 t=14892
xiao niao 	小鸟	c=1 d=1 t=30361
xiao niu 	小牛	c=2 d=1.99501 t=32608
xiao niu dian dong che 	小牛电动车	c=1 d=1 t=30417
xiao qu 	小区	c=11 d=1 t=37628
xiao qu nei 	小区内	c=1 d=1 t=27281
xiao rang 	霄壤	c=1 d=1 t=37802
xiao sa 	潇洒	c=1 d=1 t=27428
xiao san 	小三	c=3 d=1.2597 t=40979
xiao shao kao 	小烧烤	c=1 d=1 t=27431
xiao shi 	小时	c=12 d=1.00011 t=39017
xiao shi 	消失	c=3 d=1 t=20341
xiao shi hou 	小时候	c=2 d=1 t=26801
xiao shou 	销售	c=2 d=1.75201 t=16852
xiao shu ju 	小数据	c=0 d=0.1 t=26493
xiao shu ju liang 	小数据量	c=1 d=1 t=26494
xiao shuo 	小说	c=10 d=1 t=30079
xiao shuo li 	小说里	c=2 d=1 t=12401
xiao tuan 	小团	c=1 d=1 t=1786
xiao tun 	小屯	c=1 d=1 t=36187
xiao wan yi 	小玩意	c=1 d=1 t=21767
xiao xi 	消息	c=5 d=1.00752 t=41156
xiao xi wang 	消息王	c=2 d=1 t=41166
xiao xiang zhao 	肖像照	c=2 d=1.6005 t=10753
xiao xin 	小心	c=3 d=1 t=39253
xiao xue 	小学	c=2 d=1 t=40762
xiao xue sheng 	小学生	c=6 d=1.01193 t=31432
xiao yang 	小杨	c=3 d=2.93131 t=31091
xiao yang 	小样	c=1 d=1 t=36767
xiao yang 	小羊	c=0 d=0.1 t=31068
xiao yang ge 	小羊哥	c=1 d=1 t=31069
xiao yuan 	校园	c=2 d=1.36059 t=37171
xiao yuan song 	校园送	c=5 d=1.27674 t=37338
xiao zhang 	小张	c=1 d=1 t=38647
xiao zhang 	校长	c=3 d=1 t=33780
xiao zhu ji 	小主机	c=4 d=1.89583 t=38064
xiao zhuo zi 	小桌子	c=1 d=1 t=13806
xie 	些	c=2 d=1 t=37155
xie 	写	c=38 d=1.0005 t=41756
xie 	歇	c=1 d=1 t=8198
xie dai ma 	写代码	c=3 d=1 t=36495
xie de 	写的	c=9 d=1.6005 t=35312
xie ge 	写个	c=5 d=1 t=40230
xie guang kun 	谢广坤	c=2 d=1.96079 t=13390
xie he 	协和	c=10 d=6.33643 t=11720
xie he guo ji 	协和国际	c=1 d=1 t=11437
xie huo 	卸货	c=1 d=1 t=19628
xie le 	写了	c=2 d=1 t=32054
xie lou 	泄露	c=3 d=1 t=30069
xie me 	写么	c=1 d=1 t=10144
xie men 	邪门	c=6 d=1.68045 t=35477
xie qing chu 	写清楚	c=2 d=1 t=29261
xie ru 	写入	c=2 d=1 t=31515
xie shang 	协商	c=1 d=1 t=23216
xie si 	写死	c=3 d=1.46047 t=4641
xie si 	血丝	c=1 d=1 t=4102
xie si le 	写死了	c=1 d=1 t=29401
xie wan le 	写完了	c=1 d=1 t=4588
xie xie 	写写	c=1 d=1 t=8450
xie xie 	谢谢	c=29 d=1.00002 t=40004
xie yi 	协议	c=3 d=1 t=31850
xie yi ge 	写一个	c=3 d=1.01795 t=34648
xie yi ju 	写一句	c=1 d=1 t=18565
xie yin 	谐音	c=1 d=1 t=34519
xie zhe 	写着	c=1 d=1 t=39064
xie zhe 	斜着	c=1 d=1 t=41345
xie zhe ne 	歇着呢	c=1 d=1 t=3789
xie zhen ji 	写真集	c=1 d=1 t=14281
xie zuo 	协作	c=1 d=1 t=15615
xin 	心	c=2 d=1 t=22912
xin 	新	c=19 d=1.12747 t=41181
xin che 	新车	c=1 d=1 t=32604
xin chu 	新出	c=4 d=1 t=38825
xin da ya 	信达雅	c=4 d=1 t=27063
xin de 	新的	c=33 d=1.00287 t=39794
xin geng 	心梗	c=4 d=1 t=26103
xin guan 	新冠	c=4 d=1.01708 t=17918
xin gui ding 	新规定	c=1 d=1 t=34772
xin hao 	信号	c=2 d=1.87372 t=18985
xin he tong 	新合同	c=3 d=1.37719 t=40666
xin jia 	新家	c=1 d=1 t=6057
xin jian 	新建	c=4 d=1 t=30944
xin jian biao 	新建表	c=1 d=1 t=6547
xin kui 	新亏	c=1 d=1 t=20052
xin lao 	新老	c=1 d=1 t=3982
xin li xue 	心理学	c=2 d=1.91851 t=14858
xin na ru 	新纳入	c=1 d=1 t=16346
xin neng yuan 	新能源	c=4 d=1 t=38882
xin pian 	芯片	c=9 d=1.02778 t=37612
xin qing 	新青	c=0 d=0.1 t=21124
xin ren 	新人	c=1 d=1 t=40853
xin shou cun 	新手村	c=1 d=1 t=39078
xin tai 	心态	c=1 d=1 t=41389
xin tui song 	新推送	c=1 d=1 t=35472
xin wen 	新闻	c=3 d=1.00684 t=42078
xin xi 	信息	c=38 d=1 t=37737
xin xi fei 	信息费	c=1 d=1 t=32683
xin xue guan 	心血管	c=1 d=1 t=26088
xin yang zhi guang 	信仰之光	c=1 d=1 t=39081
xin yi dai 	新一代	c=1 d=1 t=5913
xin yi dian 	新一点	c=1 d=1 t=13114
xin yong ka 	信用卡	c=2 d=1 t=38791
xin zeng 	新增	c=9 d=1.7813 t=33320
xin zeng de 	新增的	c=1 d=1 t=427
xin zhi 	信纸	c=7 d=3.79398 t=41980
xing 	星	c=1 d=1 t=16571
xing 	行	c=38 d=2.30123 t=41808
xing 	醒	c=1 d=1 t=41505
xing ba 	行吧	c=7 d=1 t=41934
xing ba ke 	星巴克	c=1 d=1 t=19264
xing bie 	性别	c=1 d=1 t=34483
xing bu xing 	行不行	c=6 d=1 t=41863
xing de 	行的	c=2 d=1.49907 t=21055
xing hao 	型号	c=5 d=1.87372 t=38461
xing huo 	星火	c=3 d=1.46536 t=18725
xing jia bi 	性价比	c=1 d=1 t=9726
xing kui 	幸亏	c=4 d=1 t=38316
xing le 	行了	c=14 d=1 t=38965
xing ma 	行吗	c=3 d=1 t=37934
xing me 	行么	c=2 d=1 t=40633
xing men 	星门	c=1 d=1 t=19686
xing qiu 	星球	c=3 d=1 t=15004
xing qu 	兴趣	c=1 d=1 t=14240
xing shi 	形式	c=1 d=1 t=32028
xing shi ben 	行驶本	c=1 d=1 t=23827
xing shi zheng 	行驶证	c=1 d=1 t=23828
xing zou zai 	行走在	c=1 d=1 t=2065
xiong 	凶	c=1 d=1 t=9999
xiong di 	兄弟	c=1 d=1 t=6071
xiong sha an 	凶杀案	c=1 d=1 t=15118
xiong shou 	凶手	c=2 d=1.00037 t=15209
xiu 	休	c=1 d=1 t=10819
xiu 	修	c=1 d=1 t=30285
xiu 	秀	c=2 d=1.625 t=10707
xiu fu 	修复	c=6 d=1 t=37291
xiu gai 	修改	c=13 d=1.00551 t=33319
xiu ge 	修个	c=1 d=1 t=29024
xiu xi 	休息	c=1 d=1 t=9421
xiu xiu 	秀秀	c=2 d=1 t=19453
xiu zheng 	修正	c=1 d=1 t=35000
xu 	虚	c=1 d=1 t=41617
xu 	需	c=2 d=1.45158 t=16490
xu fei 	续费	c=2 d=1 t=28326
xu ni 	虚拟	c=3 d=1.956 t=37322
xu ni hua 	虚拟化	c=1 d=1 t=5059
xu ni ji 	虚拟机	c=3 d=1 t=36622
xu ni ren 	虚拟人	c=1 d=1 t=32469
xu qiu 	需求	c=24 d=1.92778 t=37702
xu yao 	需要	c=67 d=2.59238 t=41847
xu ying 	虚影	c=1 d=1 t=38740
xuan 	宣	c=2 d=1 t=42098
xuan 	悬	c=4 d=1 t=38126
xuan 	选	c=3 d=1 t=26261
xuan chuan 	宣传	c=1 d=1 t=16219
xuan de 	选的	c=1 d=1 t=4886
xuan nian 	悬念	c=0 d=0.1 t=13202
xuan nian ju 	悬念剧	c=1 d=1 t=13203
xuan shang 	选上	c=1 d=1 t=21029
xuan wu 	宣武	c=1 d=1 t=33206
xuan xiang 	选项	c=3 d=1 t=29283
xuan xiang ka 	选项卡	c=1 d=1 t=32214
xuan xue 	玄学	c=1 d=1 t=1279
xuan ze 	选择	c=6 d=1 t=40331
xue 	学	c=9 d=1 t=39206
xue 	血	c=3 d=1.9266 t=27969
xue bu 	学不	c=0 d=0.1 t=32185
xue bu dong 	学不动	c=1 d=1 t=32186
xue bu liao 	学不了	c=1 d=1 t=35517
xue fei 	学费	c=2 d=1 t=36131
xue guo 	学过	c=0 d=0.1 t=26661
xue guo ma 	学过吗	c=1 d=1 t=26662
xue hui 	学会	c=2 d=1 t=21167
xue ji 	学籍	c=1 d=1 t=3310
xue li 	学历	c=1 d=1 t=10744
xue ming 	学名	c=1 d=1 t=22130
xue qiu 	雪球	c=3 d=1 t=25530
xue xi 	学习	c=15 d=1.11884 t=34800
xue xiao 	学校	c=14 d=1 t=36262
xue ya 	血压	c=1 d=1 t=20049
xun fei 	讯飞	c=3 d=1.99506 t=18574
xun hua 	驯化	c=1 d=1 t=9909
xun huan 	循环	c=5 d=1.0529 t=34680
xun huan ci shu 	循环次数	c=1 d=1 t=33878
xun lian 	训练	c=11 d=1.00023 t=29763
xun mi 	寻觅	c=1 d=1 t=32135
xun yang 	驯养	c=1 d=1 t=9073
ya 	丫	c=17 d=1 t=41105
ya 	压	c=4 d=1 t=33559
ya 	呀	c=3 d=1 t=34935
ya gen 	压根	c=4 d=1 t=34528
ya jin 	押金	c=4 d=2.95084 t=38629
ya ke 	牙科	c=1 d=1 t=28125
ya ke li 	亚克力	c=2 d=1.99501 t=36907
ya li ce shi 	压力测试	c=1 d=1 t=29423
ya suo 	压缩	c=4 d=1.98601 t=5296
ya suo bao 	压缩包	c=2 d=1 t=39600
ya teng 	牙疼	c=1 d=1 t=26115
ya zhou 	亚洲	c=1 d=1 t=10648
yan 	烟	c=4 d=1 t=20396
yan 	眼	c=1 d=1 t=3420
yan cao ju 	烟草局	c=2 d=1.96561 t=8395
yan cao zheng 	烟草证	c=1 d=1 t=8472
yan chang 	延长	c=1 d=1 t=9756
yan chi 	延迟	c=1 d=1 t=39931
yan de 	演的	c=1 d=1 t=13196
yan fa 	研发	c=11 d=1 t=37568
yan jing 	眼睛	c=1 d=1 t=37885
yan jing 	眼镜	c=3 d=2.38545 t=38734
